OBJECTID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, Not Hispanic or Latino Population","White alone, Not Hispanic or Latino Population - Margin of Error","Black or African American alone, Not Hispanic or Latino Population","Black or African American alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino Population","American Indian and Alaska Native alone, Not Hispanic or Latino Population - Margin of Error","Asian alone, Not Hispanic or Latino Population","Asian alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race alone, Not Hispanic or Latino Population","Some Other Race alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, Non-Hispanic","Percent of Population that is White alone, Non-Hispanic - Margin of Error","Percent of Population that is Black or African American alone, Non-Hispanic","Percent of Population that is Black or African American alone, Non-Hispanic - Margin of Error","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic - Margin of Error","Percent of Population that is Asian alone, Non-Hispanic","Percent of Population that is Asian alone, Non-Hispanic - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic - Margin of Error","Percent of Population that is Some Other Race alone, Non-Hispanic","Percent of Population that is Some Other Race alone, Non-Hispanic - Margin of Error","Percent of Population that is 2 or More Races, Non-Hispanic","Percent of Population that is 2 or More Races, Non-Hispanic - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape_Length,Shape_Area
886,01103005106,9811038,107676,Census Tract 51.06,Alabama,Morgan County,6262,866,3998,594,2058,722,0,17,0,17,0,17,0,17,137,106,69,82,63.8,3.467080723,32.9,10.59624457,0,0.271478761,0,0.271478761,0,0.271478761,0,0.271478761,2.2,1.665490736,1.1,1.300589091,17069.22745,14664168.78
887,01103005107,50188008,415264,Census Tract 51.07,Alabama,Morgan County,5076,731,4247,621,289,196,0,17,71,88,0,17,23,37,89,73,357,430,83.7,2.11891042,5.7,3.77325191,0,0.334909377,1.4,1.721906404,0,0.334909377,0.5,0.725993788,1.8,1.415800256,7,8.410470115,45550.04918,74745346.12
888,01103005108,4147379,2397,Census Tract 51.08,Alabama,Morgan County,4166,998,3212,927,352,158,0,12,0,12,0,12,0,12,242,242,360,250,77.1,12.40927115,8.4,3.207309551,0,0.288046087,0,0.288046087,0,0.288046087,0,0.288046087,5.8,5.639784869,8.6,5.632596727,11695.19338,6132566.288
889,01103005109,8186125,594966,Census Tract 51.09,Alabama,Morgan County,3768,507,1884,370,1122,289,0,12,0,12,0,12,0,12,137,165,625,331,50,7.152704732,29.8,6.540149218,0,0.318471338,0,0.318471338,0,0.318471338,0,0.318471338,3.6,4.351566919,16.6,8.496250778,18857.14464,12975398.63
890,01103005302,22269196,450627,Census Tract 53.02,Alabama,Morgan County,3837,485,3439,411,9,12,0,12,126,145,0,12,0,12,58,95,205,203,89.6,15.59107391,0.2,0.311335818,0,0.312744332,3.3,3.756129227,0,0.312744332,0,0.312744332,1.5,2.468509189,5.3,5.247313355,42202.75398,33491591.15
891,01103005303,4556952,470,Census Tract 53.03,Alabama,Morgan County,3521,429,3107,424,298,196,0,12,0,12,0,12,0,12,68,52,48,73,88.2,5.423761034,8.5,5.470253504,0,0.340812269,0,0.340812269,0,0.340812269,0,0.340812269,1.9,1.457986992,1.4,2.066610489,13757.82431,6716840.502
892,01103005304,39131365,311132,Census Tract 53.04,Alabama,Morgan County,5301,571,4486,554,301,237,0,17,193,227,0,17,0,17,163,139,158,177,84.6,5.111592462,5.7,4.428820642,0,0.320694209,3.6,4.264215107,0,0.320694209,0,0.320694209,3.1,2.601144217,3,3.323521692,49204.3328,58106618.72
893,01103005404,62312751,11572366,Census Tract 54.04,Alabama,Morgan County,5071,552,4669,548,165,188,32,38,8,16,0,17,1,3,94,69,102,140,92.1,4.04117646,3.3,3.690397663,0.6,0.746204104,0.2,0.315051941,0,0.335239598,0,0.059120972,1.9,1.345633736,2,2.752100594,120512.951,93426233.68
894,01103005405,168548518,3999184,Census Tract 54.05,Alabama,Morgan County,4581,733,4382,718,66,56,61,60,0,12,0,12,0,12,53,44,19,25,95.7,3.374804128,1.4,1.200506877,1.3,1.292311221,0,0.261951539,0,0.261951539,0,0.261951539,1.2,0.942480093,0.4,0.541682151,98540.72663,251258504.6
895,01103005500,212457834,821915,Census Tract 55,Alabama,Morgan County,6147,752,5557,658,41,40,16,24,69,63,171,190,0,17,97,81,196,225,90.4,15.39138821,0.7,0.64558774,0.3,0.389133683,1.1,1.015648826,2.8,3.072146502,0,0.27655767,1.6,1.303498442,3.2,3.639477967,113904.8289,313821589.2
